On-Time Staus of Flight,DESTMARK,DESTGEO,TERM,STRATA,ATYPE,AIRLINE,DEST,GATE,INTDATE,Q1,Q1A,Q1MIL,DEPTIME,PASSTIME,PASSMIN,Q2_1,Q3_1,Q4A,Q4B,Q4C,Q5,Q6,Q7,SAQ,Q8A,Q8B,Q8C,Q8D,Q8E,Q8F,Q8G,Q8H,Q8I,Q8J,Q8K,Q8L,Q8M,Q8N,Q10A,Q10B,Q10C,Q10D,Q10E,Q10F,Q11,Q12,Q13,Q13A1,Q13A2,Q13A3,Q14,Q15A,Q15B,Q16,Q17,Q18STATE,Q18ZIP,Q18COUNTRY,HOME,Q19,Q20,Q21,MAIL,LANG
1,4,3,3,2,1,11,HOUSTON,88,2,111000,1,11:10,12:10,1:00,60,1,3,2,2,2,2,2,2,1,3,6,6,2,5,5,6,6,6,6,6,6,6,3,4,6,6,6,6,4,4,2,,,,,11,3,6,2,4,OR,97788,US,10,5,1,4,1,1
1,4,3,3,2,1,11,HOUSTON,88,2,93000,1,9:30,12:10,2:40,160,3,8,2,1,2,2,2,1,1,4,6,4,4,4,3,6,6,6,6,6,6,6,4,4,6,6,6,6,4,5,2,,,,,9,5,5,2,1,CA,94954,US,7,6,1,2,1,1
1,4,3,3,2,1,11,HOUSTON,88,2,90000,1,9:00,12:10,3:10,190,2,3,1,1,2,2,2,3,1,4,6,4,5,5,5,5,5,6,6,6,6,6,5,5,6,6,6,4,5,5,2,,,,,11,5,5,1,4,MS,39047,US,11,4,2,2,1,1
1,4,3,3,2,1,11,HOUSTON,88,2,100000,1,10:00,12:10,2:10,130,2,8,1,2,1,2,2,1,1,5,6,6,5,5,6,6,6,6,6,6,6,6,5,3,6,6,6,6,5,4,2,,,,,3,5,3,2,1,CA,94938,US,6,7,0,0,1,1
1,4,3,3,2,1,11,HOUSTON,88,2,103000,1,10:30,12:10,1:40,100,1,1,2,2,1,2,2,4,2,5,4,4,5,4,4,4,4,4,6,3,3,4,4,4,6,4,4,4,3,4,2,,,,,1,5,5,2,1,CA,94568,US,3,5,1,3,1,1
1,4,3,3,2,1,11,HOUSTON,88,2,93000,1,9:30,12:10,2:40,160,2,9,1,0,1,1,2,1,2,6,3,3,3,4,4,2,6,0,0,0,4,5,3,4,6,5,4,4,4,5,3,,,,,5,3,5,2,3,,,BRAZIL,14,5,2,1,1,1
1,4,3,3,2,1,11,HOUSTON,88,2,100000,1,10:00,12:10,2:10,130,2,2,2,1,2,2,2,2,2,4,4,4,4,4,4,4,4,6,6,6,6,6,5,5,5,6,6,6,5,5,2,,,,,12,5,5,2,3,AL,36277,US,11,6,2,1,1,1
1,4,3,3,2,1,11,HOUSTON,88,2,100000,1,10:00,12:10,2:10,130,1,2,1,2,1,2,2,4,2,3,3,3,4,4,4,3,3,4,3,4,6,4,4,3,6,3,3,3,3,4,1,3,,,,2,4,4,2,1,CA,94568,US,3,3,2,3,1,1
1,4,3,3,2,1,11,HOUSTON,88,2,103800,1,10:38,12:10,1:32,92,1,11,2,1,2,2,1,4,2,3,6,3,4,4,4,3,3,3,6,3,4,6,4,3,6,3,6,6,3,3,2,,,,,5,5,3,2,1,CA,,US,1,5,1,2,1,1
1,4,3,3,2,1,11,HOUSTON,88,2,100000,1,10:00,12:10,2:10,130,3,1,1,0,0,2,2,1,2,6,6,6,4,4,4,6,6,0,1,0,0,0,0,4,3,6,6,0,4,3,1,4,,,,6,3,0,2,2,,,,10,5,2,1,1,1
