STREETA,STREETB,DIRECTION,AM_PEAKVOL,PM_PEAKVOL,DATE
CALLISTER AV,CARLSON DR,EB/WB,92,158,09/06/2002
LEXINGTON ST,FRIENZA AV,NB,92,166,08/27/2015
RT 5 NBOFF R,POCKET RD,NB,92,181,06/23/1992
S ST,Btwn ALHAMBRA BL & 34TH ST,EB,92,185,01/29/2013
MARINA VIEW DR,BROADWAY,NB/SB,92,266,07/30/1995
NEW HAMPSHIRE WY,RAYMAR WY,WB,4,11,03/16/2010
HURON ST,MARYSVILLE BL,SB,2,2,06/11/2008
NORTH BEND DR,IRONGATE WY,WB,91,51,06/11/2014
LAMPASAS AV,EDGEWATER RD,WB,91,54,03/17/2010
REGENCY PARK CR,FALETTO AV,SB,91,55,06/16/2005
CAPITOL MALL,9TH ST,EB,91,55,07/13/2011
24TH ST,U ST,NB,91,62,06/28/2016
53RD ST,7TH AV,NB,91,65,12/06/2006
DEER HILL DR,FAWN CR,EB,91,69,05/12/1994
62ND ST,25TH AV,NB,91,71,09/25/2001
VALLEJO WY,10TH ST,WB,91,77,01/11/1993
COUGAR DR,Btwn ELDER CREEK RD & SOUTH ELBOW,NB,91,77,01/22/2013
27TH ST,CAPITOL AV,NB,91,81,12/15/1992
13TH ST,R ST,NB/SB,91,88,03/16/1994
27TH AV,ALTA DR,EB/WB,91,92,05/21/2015
GRAND AV,HARRIS AV,WB,91,101,10/20/1992
18TH AV,67TH ST,EB/WB,91,101,11/29/1995
51ST ST,H ST,NB/SB,91,102,04/22/2003
O ST,16TH ST,WB,91,103,12/02/2004
NOTRE DAME DR,FOLSOM BL,EB,91,105,03/04/2003
OLMSTEAD DR,FAIRBANKS AV,WB,91,107,03/11/2003
18TH ST,X ST,NB/SB,91,107,10/15/2008
2ND AV,MARTY WY,WB,91,112,02/25/2009
27TH ST,P ST,NB/SB,91,114,11/19/1998
CANTERBURY RD-EXPO PK,LEISURE LN,NB,91,115,06/08/2004
26TH AV,24TH ST,WB,91,117,06/23/2011
WHITEHOUSE RD,SPLENDID WY,NB/SB,91,118,05/23/2012
48TH ST,M ST,NB,91,119,10/06/1993
NEASHAM CR,FRONT ST,EB,91,120,09/13/2011
GRAND AV,KERN ST,EB,91,120,06/12/2014
POTRERO WY,MONTE WY,EB/WB,91,122,06/22/1993
EL MONTE AV,GROVE AV,NB/SB,91,123,07/30/2002
ALTOS AV,LEITCH AV,NB/SB,91,123,06/07/2001
ROYALE RD,CORMORANT WY,EB/WB,91,126,09/27/1994
13TH ST,H ST,NB,91,129,01/18/2006
LEXINGTON ST,FRIENZA AV,NB,91,129,06/28/2016
24TH ST,Q ST,NB,91,130,10/08/1992
GRASSLANDS DR,WEALD WY,EB,91,130,02/24/2005
29TH ST,H ST,EB,91,140,11/15/2016
DIXIEANNE AV,BEAUMONT ST,EB/WB,91,145,11/10/2005
2ND AV,ALHAMBRA BL,WB,91,149,09/10/2009
H ST,25TH ST,EB,91,157,08/16/2000
BRIDGECROSS DR,ZURLO WY,EB,91,158,06/16/2005
D St,from 11th St to 12th St,EB/WB,91,169,09/18/2012
2ND AV,35TH ST,WB,91,173,03/04/2009
22ND ST,SUTTERVILLE RD,NB/SB,91,177,05/10/2000
ELVAS AV,F ST,EB,91,178,08/25/2005
10TH ST,Btwn E ST & F ST,NB,91,187,02/14/2013
GREAT FALLS WY,JULLIARD DR,EB/WB,91,202,01/23/2019
OCCIDENTAL DR,GREAT FALLS WY,NB,91,214,07/26/2005
S ST,24TH ST,EB,91,216,08/12/2008
24TH ST,CURTIS WY,SB,91,281,05/25/1995
28TH ST,I ST,NB,91,289,11/15/2016
KARBET WY,RIVERSIDE BL,SB,91,487,04/26/2005
13TH ST,N ST,SB,90,45,03/01/2006
AUSTIN ST,GRACE AV,WB,90,77,04/28/2009
RAMONA AV,CUCAMONGA AV,NB,90,78,02/24/2005
YOUNGER CREEK DR,SKY CREEK DR,EB,90,84,03/18/2015
48TH ST,T ST,SB,90,85,07/27/2006
22ND AV,36TH ST,EB/WB,90,88,09/27/2005
WILSON AV,AMERICAN AV,EB/WB,90,90,11/06/2001
DRY CREEK RD,LAMBARTON CR,NB,90,90,10/11/1993
COUGAR DR,Btwn ELDER CREEK RD & SOUTH ELBOW,SB,90,90,01/22/2013
14TH ST,R ST,NB,90,94,08/18/2016
ASTORIA ST,ROANOKE AV,SB,90,94,01/10/2019
BEAUMONT ST,CALVADOS AV,SB,90,96,09/29/1994
COMMONS DR,SWARTHMORE DR,SB,90,102,08/09/2005
SUN RIVER DR,50TH AV,NB/SB,90,103,03/10/2004
DAYTON ST,SOUTH AV,NB/SB,90,104,05/11/2004
MCMAHON DR,63RD ST,EB,90,104,11/01/2018
YOUNGER CREEK DR,SKY CREEK DR,EB/WB,90,105,03/18/2015
55TH ST,H ST,NB/SB,90,110,06/29/1994
35TH ST,N ST,NB/SB,90,111,11/03/1998
Astoria St,Grand Av & Roanoke Av,NB,90,115,07/26/2012
CANTERBURY RD,CANTERBURY RD,NB,90,116,03/01/1993
GILGUNN WY,OREGON DR,NB/SB,90,116,02/11/1997
55TH ST,20TH AV,NB/SB,90,117,10/16/1996
FORD RD,MABEL ST,EB/WB,90,121,03/11/1993
NORTH AV,ASTORIA ST,EB/WB,90,121,03/15/1993
F ST,52ND ST,WB,90,124,05/25/2011
MUIR WY,FREMONT WY,SB,90,126,01/11/1993
8TH ST,W ST,SB,90,126,09/10/2009
C ST,20TH ST,WB,90,139,06/14/2016
M ST,57TH ST,WB,90,141,05/18/2005
69TH ST,18TH AV,NB/SB,90,142,11/29/1995
SUN RIVER DR,50TH AV,NB/SB,90,147,03/12/2003
AMHERST ST,71ST AV,SB,90,153,06/05/2008
INNOVATOR DR,PROSPER RD,SB,90,171,07/16/2014
GREAT FALLS WY,OCCIDENTAL DR,EB/WB,90,175,06/23/1998
V ST,51ST ST,EB,90,180,07/13/2000
SAN FRANCISCO BL,BROADWAY,NB/SB,90,191,08/28/2002
O ST,FRONT ST,EB,90,191,09/14/2011
NEASHAM CR,CAPITOL ML,NB/SB,90,240,11/22/1994
JIM CASEBOLT WY,JIM CASEBOLT WY (ELBOW),EB,2,5,10/21/2009
BANFIELD DR,S of NEW HAMPSHIRE WY,SB,89,42,04/04/2006
SODA WY,,NB/SB,89,53,08/07/2019
CASA DEL SOL WY,RANCHO ADOBE DR,WB,89,56,01/21/2009
32ND ST,Y ST,NB,89,56,12/15/2015
NORTHVIEW DR,BRIDGEFORD DR,SB,89,60,03/17/2011
YORKSHIRE RD,ROYALE RD,NB/SB,89,61,09/07/2005
33RD ST,I ST,NB,89,63,01/24/2006
Plover St,South of Iris Av,NB/SB,89,64,09/11/2012
HONOR PKWY,BRIDGECROSS DR,SB,89,66,09/30/2015
CANDLEWOOD WY,69TH AV,NB,89,67,12/11/2007
BLUE WATER CR,RUSH RIVER DR (N. LEG),EB/WB,89,72,03/10/1999
STANDRICH ST,BELL AV,NB/SB,89,74,05/13/2014
LAND PARK DR,GREENHAVEN DR,EB,89,75,08/16/2006
SULLY ST,Btwn GRAFF RIG CT & SEXTANT WY,SB,89,76,07/25/2013
36TH ST,H ST,NB/SB,89,79,01/08/2004
11TH AV,62ND ST,EB/WB,89,83,01/19/2005
SEYFERTH WY,ANACAPA CT,EB,89,83,02/16/2006
VALLEJO WY,MUIR WY,WB,89,84,05/13/1998
13TH AV,W of 17TH ST,WB,89,88,03/22/2006
13TH ST,58TH AV,SB,89,88,04/19/2012
53RD ST,8TH AV,NB,89,89,03/25/1997
RT 99 SB OFF R,ELKHORN BL,SB,89,90,04/01/2009
48TH AV,POWER INN RD,EB/WB,89,91,02/19/2003
MC KINLEY BL,40TH ST,WB,89,91,06/16/2010
17TH ST,Btwn N ST & O ST,NB,89,92,02/14/2013
VALLEJO WY,MUIR WY,EB,89,97,01/08/2015
H ST,ALHAMBRA BL,NB,89,98,09/15/2011
PRINCETON ST,EL CAMINO AV,NB,89,99,12/10/1997
M ST,57TH ST,EB,89,100,05/18/2005
24TH ST,L ST,NB,89,103,02/16/1995
MCMAHON DR,63RD ST,EB,89,104,11/01/2018
TANGERINE AV,AUDIA CR,EB,89,105,02/23/2006
33RD ST,3RD AV,NB,89,111,10/06/1992
25TH ST,J ST,SB,89,112,10/03/1994
2ND AV,FREEPORT BL,EB,89,116,02/11/2020
M ST,RODEO DR,EB,89,123,11/30/2010
Amherst St,Btwn Handly Wy & Schreiner Circle,NB/SB,89,123,10/30/2012
DANBROOK DR,NANTUCKET WY,EB/WB,89,124,06/23/2015
MEER WY,STAGGS WY,EB/WB,89,130,10/10/2000
CANTERBURY RD,DEL PASO BL,NB/SB,89,139,03/03/1999
4TH ST,R ST,NB,89,145,02/28/1996
FORD RD,ALTOS AV,WB,89,145,12/05/2013
2ND AV,18TH ST,WB,89,146,08/18/1994
T ST,6TH ST,WB,89,163,10/04/2011
MUIR WY,VALLEJO WY,SB,89,164,05/01/1997
REDDING AV,SAN JOAQUIN ST,SB,89,177,02/09/2006
LAWRENCE DR,MC GLASHAN ST,EB/WB,89,189,02/10/1999
11TH ST,Q ST,SB,89,221,08/25/2016
24TH ST,11TH AV,SB,89,249,09/16/2008
F ST,12TH ST,EB,89,262,05/22/2014
F Street,approach to 12th Street,EB,89,262,05/22/2014
OCCIDENTAL DR,GONZAGA CT,NB,89,264,02/25/2009
CAMELLIA AV,CARLSON DR,EB/WB,89,270,09/07/2002
DANBROOK DR,NORTH BEND DR,SB,88,44,01/29/2003
I ST,ALHAMBRA BL,EB/WB,88,44,02/28/2004
62ND ST,BROADWAY,NB,88,44,02/25/2010
55TH ST,JANSEN DR,NB/SB,88,52,12/17/1992
WEST SHORE DR,POCKET RD,SB,88,54,11/14/2007
HONOR PK,MIKE GARTRELL CR,SB,88,56,01/25/2005
53RD AV,PONTIAC CT,WB,88,61,05/10/1994
53RD ST,BROADWAY,NB,88,62,02/25/2010
LARSON WY,22ND AV,WB,88,63,06/16/2005
68TH AV,TILDEN WY,WB,88,64,09/30/2015
SAINTSBURY DR,FAR NIENTE WY,NB,88,68,06/15/2011
NATOMAS CENTRAL DR,MANERA RICA DR,SB,88,70,06/20/2017
F ST,52ND ST,EB,88,76,05/25/2011
WILKINSON ST,FRUITRIDGE RD,NB,88,79,10/10/2000
56TH ST,SIERRA VIEW LN,NB/SB,88,81,02/11/2003
23RD ST,16TH AV,NB/SB,88,85,03/04/1993
FAIRWEATHER DR,O MALLEY WY,SB,88,85,06/08/1995
JOHN STILL DR,24TH ST,EB,88,87,03/18/2003
RUSH RIVER DR,SHAW RIVER WY,NB/SB,88,88,10/19/1992
DIXIEANNE AV,OAKMONT ST,EB,88,88,10/08/2002
ARROYO VISTA DR,UNION HOUSE WY,WB,88,89,03/08/1993
DEL PASO BL,NORTHGATE BL,WB,88,90,04/07/2016
HALKEEP WY,VALLEY HI DR,NB/SB,88,91,11/17/1993
48TH ST,H ST,NB/SB,88,93,04/13/2004
51ST ST,H ST,NB/SB,88,96,06/30/2005
U ST,ALHAMBRA BL,EB/WB,88,97,08/05/1993
17TH ST,CAPITOL AV,SB,88,97,05/17/1995
LOMA VERDE WY,69TH AV,NB/SB,88,97,04/15/2008
HARRIS AV,MARYSVILLE BL,EB,88,103,05/30/2012
51ST ST,H ST,NB/SB,88,106,04/11/2007
EL MONTE AV,HAWTHORNE ST,EB,88,108,01/03/2001
RED DEER WY,SPIKE CT,EB/WB,88,109,06/22/1993
54TH ST,J ST,NB/SB,88,109,06/01/2005
ALTOS AV,LEITCH AV,NB/SB,88,119,01/19/1993
GRACE AV,NORWOOD AV,EB/WB,88,120,07/21/2005
NOTRE DAME DR,JULLIARD DR,EB/WB,88,121,04/13/2004
INNOVATOR DR,PROSPER RD,NB,88,127,07/16/2014
CALLISTER AV,MINERVA AV,EB/WB,88,134,09/06/2002
79TH ST,32ND AV,NB/SB,88,136,06/29/1992
D ST,19TH ST,WB,88,147,12/08/2005
C ST,Btwn 21ST ST & 22ND ST,EB,88,149,06/26/2013
F ST,LAGOMARSINO WY,EB,88,151,02/01/2006
V ST,20TH ST,EB/WB,88,157,02/11/2020
21ST ST,D ST,NB/SB,88,165,12/04/0218
21ST ST,D ST,EB/WB,88,165,12/04/2018
4TH ST,R ST,NB,88,191,05/17/1995
E ST,Btwn 10TH ST & 12TH ST (SR 160),EB,88,207,02/14/2013
RIVERSIDE BL,PIEDMONT DR,NB/SB,88,318,01/26/2000
24TH ST,4TH AV,SB,88,352,02/10/2009
WATERCOURSE WY,BARANDAS DR,NB,87,35,02/03/2009
19TH ST,FERRAN AV,NB,87,51,05/28/2008
R ST,2ND ST,EB/WB,87,54,08/13/1998
13TH ST,FORDHAM WY,NB,87,59,05/19/2009
EAST COMMERCE WY,OTTUMWA DR,WB,87,60,06/30/2005
DICKSON ST,ZELDA WY,EB/WB,87,61,03/06/1997
48TH ST,Q ST,SB,87,71,08/10/1995
13TH ST,GAGLE WY,NB,87,79,04/19/2012
WINDSONG ST,WHITE EAGLE LN,EB/WB,87,79,04/04/2017
35TH ST,I ST,NB/SB,87,82,01/08/2004
GARDEN HWY,RT 80,NB/SB,87,87,10/11/2007
BEAUMONT ST,DIXIEANNE AV,SB,87,88,11/10/2005
32ND ST,N ST,NB/SB,87,91,12/06/1993
BENNINGTON WY,OCCIDENTAL DR,EB/WB,87,93,05/25/1993
OLMSTEAD DR,FAIRBANKS AV,EB,87,93,03/11/2003
VALLEY GREEN DR,CENTER PK,NB/SB,87,96,01/18/1994
FERRAN AV,BETH ST,EB/WB,87,100,12/03/1997
O ST,24TH ST,WB,87,102,09/29/1992
MONTEREY WY,ARVILLA DR,NB,87,102,09/14/1995
46TH ST,F ST,NB/SB,87,102,03/03/2004
MIDDLEBERRY RD,BOWLING GREEN DR,WB,87,103,01/06/2015
NATOMAS CENTRAL DR,MANERA RICA DR,NB,87,106,06/20/2017
21ST ST,60TH AV,NB,87,110,02/10/1993
LAKE FRONT DR,STILL BREEZE WY,NB/SB,87,113,04/21/2009
GARDENDALE RD,24TH ST,EB,87,118,04/01/2009
25TH ST,BROADWAY,SB,87,118,05/30/2012
RED DEER WY,DOE CT,EB/WB,87,120,11/03/1993
2ND AV,32ND ST,EB,87,121,03/28/2002
CLAREMONT WY,DEL RIO RD,EB/WB,87,125,08/28/2002
WINDBRIDGE DR,POCKET RD,SB,87,126,07/15/1997
17TH ST,JAZZ ALY,NB,87,127,05/07/2015
36TH ST,21ST AV,SB,87,133,08/03/1992
F ST,30TH ST,WB,87,136,09/25/1997
51ST ST,,NB/SB,87,140,01/08/2002
H ST,19TH ST,WB,87,146,12/06/2006
SORENTO RD,BARROS DR,NB,87,333,05/06/1997
D ST,Btwn 20TH ST & 21ST ST,EB,3,5,09/11/2013
MUIR WY,4TH AV,NB,86,41,05/01/1997
HELEN WY,FRUITRIDGE RD,SB,86,44,05/17/2005
POCKET RD,WEST SHORE DR,SB,86,49,04/10/2002
GRACE AV,NORWOOD AV,WB,86,54,10/02/2002
LOS CERROS DR,SIERRA BONITA WY,SB,86,57,04/19/2012
28TH ST,F ST,SB,86,64,11/15/2016
FARO DR,65TH EX,WB,86,68,05/03/1994
LARSON WY,22ND AV,WB,86,68,11/13/2003
NORTH BEND DR,CREST DR,EB/WB,86,70,02/11/2004
EDGEWATER RD,LAMPASAS AV,SB,86,71,09/07/2005
10TH ST,Btwn E ST & F ST,SB,86,71,02/14/2013
MORRISON AV,OPPORTUNITY ST,EB/WB,86,79,09/07/2016
E ST,Btwn 10TH ST & 12TH ST (SR 160),WB,86,81,02/14/2013
PARK CITY DR,CORPORATE WY,NB,86,81,03/09/2016
AMHERST ST,18TH ST,WB,86,82,07/12/2005
8TH AV,59TH ST,WB,86,83,03/15/2005
11TH AV,61ST ST,EB/WB,86,84,01/19/2005
LOS ROBLES BL,ALVARADO BL,EB/WB,86,87,08/20/1997
17TH ST,C ST,NB/SB,86,91,09/29/1998
AIRPORT RD,NATOMAS CROSSING DR,SB,86,91,03/19/2009
FRONT ST,BROADWAY,NB,86,92,04/26/1997
Notre Dame Dr,Btwn Moravian Ct & Grinnel Wy,NB,86,93,05/16/2012
ALPINE FROST DR,BRUCEVILLE RD,WB,86,94,09/20/2001
TIMBERLAKE WY,BRUCEVILLE RD,WB,86,94,09/20/2001
21ST ST,G ST,SB,86,94,10/01/1992
K ST,20TH ST,SB,86,97,04/05/2016
18TH ST,N ST,NB,86,97,12/04/2018
23RD ST,K ST,SB,86,101,09/20/2011
MONTEREY WY,WENTWORTH AV,NB/SB,86,102,02/15/1994
32ND ST,CARLEY WY,NB/SB,86,104,01/10/1994
23RD ST,3RD AV,NB/SB,86,106,08/11/1998
SHASTA AV,KUESMAN ST,EB/WB,86,107,09/27/2016
21ST ST,MEADOWVIEW RD,NB,86,110,12/19/2018
O ST,22ND ST,EB/WB,86,112,01/05/2006
South Av,Dayton St & Astoria St,EB/WB,86,113,08/02/2012
20TH ST,K ST,NB,86,114,03/21/2012
58TH ST,VALLETTA WY,SB,86,118,08/11/1993
O ST,22ND ST,EB/WB,86,124,08/18/1998
2ND Av,Btwn ALHAMBRA BL & 32ND ST,WB,86,126,09/05/2012
RUSH RIVER DR,GLORIA DR,NB/SB,86,127,11/26/1997
HENRIETTA DR,MATSON,NB/SB,86,129,03/18/2003
22ND ST,I ST,NB/SB,86,135,11/03/1998
SPILMAN AV,CARLSON DR,EB/WB,86,141,09/05/2002
33RD ST,H ST,NB/SB,86,145,01/23/1993
D St,Btwn San Antonio Wy & 40th St,EB,86,145,09/05/2012
34TH ST,16TH AV,NB/SB,86,154,12/21/1995
BRADFORD DR,VANDENBERG DR,NB/SB,86,154,06/19/1997
CLUB CENTER DR,ALVOCA WY,EB,86,171,05/18/2011
S ST,ALHAMBRA BL,EB,86,171,08/18/2011
DEL PASO BL,NORTHGATE BL,EB,86,215,08/20/2003
4TH ST,Q ST,NB,86,239,01/14/1999
24TH ST,5TH AV,SB,86,313,10/22/1992
14TH ST,C ST,NB/SB,86,327,07/09/1997
DETROIT BL,MEADOWVIEW RD,SB,86,349,05/01/2007
DETROIT BL,MEADOWVIEW RD,SB,86,349,05/01/2007
KAYAK ALY,14TH ST,EB,4,11,10/28/2015
MUIR WY,3RD AV,NB,85,43,01/11/1993
BARANDAS DR,WATERCOURSE WY,EB,85,45,04/22/2003
CHATEAU MONTELENA WY,CARNEROS CREEK WY,EB,85,49,04/08/2009
WINDSONG ST,WINDSONG ST,SB,85,49,05/05/2010
SARDINIA ISLAND WY,NATOMAS CENTRAL DR,EB,85,50,02/07/2019
HOOKE WY,IRVIN WY,NB/SB,85,51,01/12/2006
DUCKHORN DR,MYOTIS DR,EB,85,61,02/28/2006
CANDLEWOOD WY,69TH AV,NB,85,61,10/22/2009
D ST,41ST ST,WB,85,63,04/21/2009
53RD AV,24TH ST,EB,85,65,03/21/2012
SLOAT WY,25TH ST,EB,85,68,04/22/2003
13TH ST,FAY CR,NB,85,72,04/19/2012
3100 B ST,,EB/WB,85,73,10/02/2018
PALO VERDE AV,DEL PASO BL,EB,85,76,12/05/2019
GERBER AV,T ST,EB/WB,85,82,09/14/1995
BOWMAN AV,AMERICAN AV,NB/SB,85,86,11/06/2001
C ST,51ST ST,EB/WB,85,89,11/25/2003
26TH ST,P ST,SB,85,90,10/19/1993
BROADWATER DR,NORTH PARK DR,NB,85,97,01/27/2015
53RD AV,POWER INN RD,EB/WB,85,114,03/23/1995
POTOMAC AV,NORTHGATE BL,WB,85,115,03/11/2003
DIXIEANNE AV,BOXWOOD ST,EB/WB,85,118,11/10/2005
2ND Av,Btwn 32ND ST & 33RD ST,WB,85,118,09/05/2012
DEERLEAF DR,WHITE STAG WY,EB/WB,85,125,11/03/1993
24TH ST,R ST,SB,85,126,03/08/1994
ARCADE BL,BRANCH ST,EB,85,133,10/20/1994
SOUTH AV,RIO LINDA BL,EB,85,133,12/23/1997
BANNON ST,BERCUT DR,WB,85,137,02/25/2009
4TH AV,42ND ST,EB/WB,85,138,09/15/2005
66TH AV,TAMOSHANTER WY,EB/WB,85,145,06/10/1993
34TH ST,2ND AV,NB,85,160,04/08/2009
RANCHO ADOBE DR,ELDER CREEK RD,SB,85,173,05/03/1994
20TH ST,D ST,NB/SB,85,183,10/27/1998
6TH ST,T ST,SB,85,188,03/18/2003
BRIDGEFORD DR,GUAVA WY,NB,85,193,02/01/2006
GREENHAVEN DR,SOUTH LAND PARK DR,WB,85,240,04/17/2001
7TH ST,RICHARDS BL,NB,85,257,05/20/2015
SORENTO RD,DEL PASO BL,NB/SB,85,879,03/05/1999
CULPEPPER DR,JACINTO AV,EB,84,53,03/17/1998
CANDLEWOOD WY,69TH AV,SB,84,53,12/11/2007
BOYCE DR,FRANKLIN BL,WB,84,54,11/14/2007
F ST,50TH ST,EB,84,54,11/06/2012
Plover St,btwn Helena Av & Glenrose Av,NB/SB,84,55,09/11/2012
REGENCY PARK CR,HONOR PK,WB,84,58,04/28/2009
LAKE FRONT DR,STILL BREEZE WY,NB,84,63,03/01/1994
3200 B ST,,EB/WB,84,68,10/02/2018
CAMARILLO DR,BRIDGEFORD DR,NB/SB,84,71,09/11/1997
ATLAS AV,FRANKLIN BL,EB,84,75,01/14/1999
EDNA ST,26TH ST,EB/WB,84,80,04/04/1994
ARENA BL,INNOVATOR DR,NB,84,81,02/24/2004
COMMONS DR,CAMPUS COMMONS RD,NB,84,82,01/17/1996
MINDEN CT,BANFIELD DR,WB,84,82,03/16/2010
LAMPASAS AV,GARY WY,EB/WB,84,84,09/21/1994
PERKINS WY,MUIR WY,EB/WB,84,84,04/13/2011
G ST,28TH ST,EB/WB,84,88,10/22/1998
ELEANOR AV,GROVE AV,EB/WB,84,88,02/08/2006
GARDENDALE RD,LOMA VERDE WY,EB,84,88,04/01/2009
WEST RIVER DR,BARANDAS DR,EB/WB,84,88,07/01/2015
12TH AV,40TH ST,EB/WB,84,94,05/09/1996
23RD ST,J ST,SB,84,97,12/19/1994
PINELL ST,SOUTH AV,NB/SB,84,98,11/13/2003
34TH ST,14TH AV,NB/SB,84,98,09/21/2005
WEST RIVER DR,MARTA BELLA WY,EB,84,98,02/03/2009
37TH ST,3RD AV,SB,84,101,12/19/2018
ASTORIA ST,GRAND AV,SB,84,102,03/15/2006
17TH ST,S ST,SB,84,103,05/30/2018
ETHAN WY,ALTA ARDEN EX,NB/SB,84,105,12/08/1993
THYS CT,FLORIN PERKINS RD,WB,84,106,07/04/1992
BOXWOOD ST,DIXIEANNE AV,NB,84,116,10/21/1993
24TH ST,N ST,NB,84,116,04/30/1995
ALTOS AV,FAIRFIELD ST,NB/SB,84,117,11/16/1995
BRIDGECROSS DR,BOMBAY CR,NB,84,118,01/06/2015
58TH ST,18TH AV,SB,84,119,12/07/2006
MC KINLEY BL,40TH ST,EB,84,126,06/16/2010
TANGERINE AV,PERSIMMON AV,EB,84,129,02/16/2006
ALTOS AV,ELEANOR AV,NB/SB,84,135,05/15/1997
KENWORTHY WY,24TH ST,EB/WB,84,137,05/06/1993
2ND AV,25TH ST,EB,84,137,08/09/2018
24TH ST,U ST,SB,84,139,03/03/2011
24TH ST,P ST,SB,84,140,04/10/2007
COLFAX ST,STANFORD AV,NB/SB,84,147,04/05/1993
CAPRI WY,DEL RIO RD,EB/WB,84,155,08/28/2002
G ST,24TH ST,EB,84,162,07/21/2015
Gloria Dr,between 35th Av and 43rd Av,SB,84,163,11/13/2013
MUIR WY,BROADWAY,SB,84,233,03/18/2010
BERCUT DR,RICHARDS BL,NB/SB,84,332,05/14/2019
COLFAX ST,EL CAMINO AV,NB,83,31,04/17/2001
3RD ST,X ST,NB,83,47,10/15/2008
73RD ST,17TH AV,NB,83,48,08/23/2005
MINDEN WY,BIXBY CT,EB/WB,83,48,03/05/2008
Y ST,32ND ST,EB,83,50,12/15/2015
Y ST,32ND ST,EB/WB,83,50,12/15/2015
DUNLAY DR,NORTHBOROUGH DR,NB,83,51,06/14/2005
58TH ST,M ST,NB,83,59,11/20/2019
CROMWELL WY,FLORIN RD,SB,83,61,09/13/2005
E ST,12TH ST,WB,83,61,05/22/2014
E Street,approach to 12th Street,WB,83,61,05/22/2014
H ST,13TH ST,SB,83,62,10/28/2003
SEYFERTH WY,CENTER PK,WB,83,63,02/16/2006
F ST,7TH ST,EB,83,65,10/30/2001
48TH AV,POWER INN RD,EB/WB,83,67,12/03/2002
PORTOLA WY,22ND ST,EB/WB,83,70,12/01/1994
GARDENDALE RD,LOMA VERDE WY,EB,83,82,10/08/1992
MONTEREY WY,ARVILLA DR,SB,83,83,09/14/1995
69TH AV,24TH ST,EB,83,86,04/01/2009
ALBATROSS WY,FRIENZA AV,NB/SB,83,94,08/03/2016
44TH AV,11TH AV,NB,83,95,08/29/1994
DEER CREEK DR,DEER HILL DR,EB,83,95,12/06/2018
MC LAREN AV,35TH AV,NB/SB,83,96,03/13/1997
8TH AV,SANTA CRUZ WY,WB,83,97,11/19/1997
AMHERST ST,CELEBRITY ST,EB,83,99,06/05/2008
24TH ST,CAPITOL AV,SB,83,100,09/20/2011
F ST,28TH ST,SB,83,101,08/25/2005
24TH ST,J ST,SB,83,104,03/18/1993
24TH ST,G ST,NB/SB,83,104,11/04/1998
OLD WEST DR,PONY EXPRESS DR,EB/WB,83,105,06/19/1996
71ST ST,ALCOTT DR,NB/SB,83,106,06/25/1997
KITCHNER RD,FREEPORT BL,EB/WB,83,112,11/16/1999
EMERSON RD,FRUITRIDGE RD,NB/SB,83,113,02/22/1993
McKINLEY BL,ELVAS AV,EB/WB,83,120,07/03/2018
45TH ST,F ST,NB/SB,83,123,03/27/2001
36TH ST,19TH AV,NB/SB,83,125,12/18/1995
13TH ST,O ST,NB,83,126,01/18/2006
O ST,22ND ST,EB/WB,83,131,01/27/1998
ALBATROSS WY,WOOLLEY WY,SB,83,134,09/07/2005
66TH ST,FRUITRIDGE RD,NB/SB,83,135,10/22/2003
14TH ST,BROADWAY,NB,83,135,03/21/2012
13TH ST,N ST,NB,83,141,01/18/2006
D ST,Btwn 8TH ST & 10TH ST,EB/WB,83,141,02/14/2013
28TH ST,E ST,NB,83,152,11/15/2016
34TH ST,16TH AV,NB/SB,83,154,03/04/2003
R ST,14TH ST,EB/WB,83,154,08/09/2005
20TH ST,G ST,NB/SB,83,158,05/21/2015
D ST,20TH ST,EB,83,159,02/13/2020
COMMONS DR,CAMPUS COMMONS RD,EB,83,173,06/14/2006
F ST,Btwn 10TH ST & 12TH ST,EB,83,241,02/14/2013
14TH ST,BROADWAY,NB,82,19,09/20/2011
V ST,51ST ST,WB,82,37,07/13/2000
JACINTO AV,PORT HAYWOOD WY,NB,82,51,02/12/2002
EDNA ST,24TH ST,EB/WB,82,57,05/05/2009
EL PARAISO AV,CITY LIMITS,EB,82,58,09/14/2006
POMEGRANATE Av,Btwn CENTER PKWY & SOULES WY,WB,82,63,01/29/2013
COUGAR DR,HOMETOWN WY,NB,82,65,01/21/2009
28TH ST,X ST,SB,82,68,02/10/1994
UNIVERSITY AV,AMERICAN RIVER DR,SB,82,69,04/21/2009
Notre Dame Dr,Btwn Moravian Ct & Grinnel Wy,SB,82,69,05/16/2012
U ST,45TH ST,EB/WB,82,70,05/08/2001
33RD ST,J ST,SB,82,72,11/08/2005
MAIN AV,DRY CREEK RD,WB,82,72,11/17/2015
11TH AV,RIVERSIDE BL,EB/WB,82,80,03/22/2000
POTOMAC AV,NORTHVIEW DR,EB,82,81,08/02/2005
JACINTO RD,ARDENNES WY,EB/WB,82,91,07/27/1999
WAGON TRAIL WY,POWER INN RD,EB/WB,82,92,01/31/1995
VILLAGE STAR DR,FRANKLIN BL,EB/WB,82,92,12/09/1997
60TH ST,14TH AV,NB/SB,82,95,11/15/1994
GRACE AV,KELTON WY,EB/WB,82,97,12/08/1993
