STREETA,STREETB,DIRECTION,AM_PEAKVOL,PM_PEAKVOL,DATE
MACK RD,BROOKFIELD DR,EB/WB,2368,2922,04/28/2010
65TH EX,14TH AV,NB/SB,2367,2412,09/13/2005
NORTH B ST,NORTH 12TH ST,SB,2366,1875,12/03/2002
SUTTERVILLE RD,21ST ST,EB/WB,2366,2169,11/17/2015
TRUXEL RD,INTERSTATE 80,SB,2365,2522,02/08/2018
HOWE AV,FOLSOM BL,SB,2363,2000,08/20/2008
NORWOOD AV,ELEANOR AV,NB,2362,352,09/29/1994
TRUXEL RD,RT 80,NB,2362,2550,04/01/2010
MEADOWVIEW RD,24TH ST,EB/WB,2359,2614,08/01/2000
J ST,7TH ST,EB,2355,1617,09/12/2007
FLORIN RD,FREEPORT BL,EB/WB,2355,3215,06/10/1992
NORTHGATE BL,ROSIN CT,NB/SB,2354,2858,07/05/1988
12TH ST,C ST,SB,2353,1596,01/11/1994
65TH EX,21ST AV,NB/SB,2353,2244,09/13/2005
AUBURN BL,WINDING WY,EB/WB,2352,2509,08/03/2005
12th Street,approach to C Street,SB,2347,2139,05/22/2014
12TH ST,C ST,SB,2347,2139,05/22/2014
HOWE AV,FAIR OAKS BL,NB/SB,2346,2694,03/16/2003
NORTH 12TH ST,NORTH B ST,SB,2342,1523,06/14/1994
NATOMAS BL,NORTH PARK DR,NB/SB,2342,2241,01/15/2014
TRUXEL RD,I 80 WB TRUXEL RD OFF RAMP,SB,2342,2620,09/26/2017
POWER INN RD,CLIFTON RD,NB/SB,2338,2481,12/08/1993
NORTH 12TH ST,SITKA ST,SB,2335,1228,05/31/2001
FLORIN RD,LUTHER DR,EB/WB,2329,2487,08/21/1995
HOWE AV,RT 50 WBOFF R,NB,2329,2000,04/23/1986
65TH ST,Q ST,NB/SB,2328,2439,12/04/2003
J ST,CARLSON DR,EB/WB,2328,3088,11/23/1993
12TH ST,C ST,SB,2327,1531,03/22/1994
FRANKLIN BL,FLORIN RD,NB/SB,2327,2739,02/17/1999
J ST,5TH ST,EB,2323,1297,09/20/2017
POCKET RD,RT 5 NB ON R,EB/WB,2323,2392,04/28/2010
SUTTERVILLE RD,SUTTERVILLE BP,EB/WB,2317,2345,03/29/2005
HOWE AV,SWARTHMORE DR,SB,2315,2882,09/13/2007
FLORIN RD,FREEPORT BL,EB/WB,2312,2789,12/16/2003
HOWE AV,AMERICAN RIVER DR,NB,2310,2646,08/27/2002
FREEPORT BL,15TH AV,NB/SB,2309,2688,11/01/2007
FREEPORT BL,23RD AV,NB/SB,2308,2508,09/13/2007
CARLSON DR,LOVELLA WY,NB/SB,2306,4379,09/14/2002
SOUTH WATT AV,FOLSOM BL,NB/SB,2301,2274,09/17/2003
NORTH 16TH ST,BASLER ST,NB,2300,4119,06/15/1994
H ST,J ST,EB/WB,2296,3329,08/17/2005
MACK RD,BROOKE MEADOW DR,NB/SB,2295,2433,09/05/2002
12TH ST,C ST,SB,2292,1450,02/28/1995
NORTH 12TH ST,RICHARDS BL,SB,2289,1195,10/01/2008
21ST ST,O ST,NB,2289,2267,06/07/1994
WATT AV,LONGVIEW DR,SB,2287,1932,08/03/2005
65TH EX,18TH AV,NB/SB,2285,2427,09/13/2005
EL CAMINO AV,RT 80B,EB/WB,2283,2792,10/18/2007
WEST EL CAMINO AV,RT 5,EB/WB,2278,2614,02/05/2003
POWER INN RD,FRUITRIDGE RD,NB/SB,2277,2349,06/10/1992
